iter	Passed	Remaining
0	0	429
1	0	391
2	1	373
3	1	352
4	1	358
5	2	351
6	2	344
7	2	335
8	2	328
9	3	326
10	3	319
11	3	320
12	4	315
13	4	315
14	4	316
15	5	316
16	5	312
17	5	312
18	6	314
19	6	313
20	6	311
21	7	323
22	8	355
23	8	356
24	9	353
25	9	350
26	9	347
27	9	345
28	10	343
29	10	340
30	10	338
31	11	338
32	11	337
33	11	336
34	12	334
35	12	332
36	12	330
37	13	331
38	13	331
39	13	331
40	14	331
41	14	330
42	14	329
43	15	327
44	15	326
45	15	325
46	15	324
47	16	323
48	16	325
49	17	326
50	17	326
51	17	326
52	18	325
53	18	325
54	18	324
55	19	324
56	19	323
57	19	323
58	20	323
59	20	321
60	20	320
61	21	319
62	21	318
63	21	317
64	22	317
65	22	319
66	22	320
67	23	316
68	23	316
69	24	324
70	24	323
71	25	322
72	26	331
73	26	330
74	26	329
75	27	329
76	27	329
77	27	328
78	28	328
79	28	327
80	28	326
81	29	325
82	29	324
83	29	323
84	29	321
85	30	321
86	30	318
87	30	317
88	30	316
89	31	316
90	31	315
91	31	314
92	32	314
93	32	313
94	32	313
95	33	312
96	33	312
97	33	311
98	34	310
99	34	310
100	34	309
101	34	307
102	35	307
103	35	306
104	35	306
105	36	305
106	36	305
107	36	305
108	37	304
109	37	304
110	38	305
111	38	305
112	38	305
113	39	304
114	39	304
115	39	302
116	40	302
117	40	303
118	40	302
119	41	302
120	41	302
121	41	301
122	42	299
123	42	299
124	42	298
125	42	297
126	43	296
127	43	295
128	43	294
129	43	294
130	44	294
131	44	294
132	45	293
133	45	293
134	45	293
135	46	292
136	46	292
137	46	291
138	46	291
139	47	290
140	47	289
141	47	289
142	48	289
143	48	289
144	48	288
145	49	287
146	49	287
147	49	286
148	50	286
149	50	286
150	50	286
151	51	285
152	51	285
153	51	284
154	52	284
155	52	284
156	52	283
157	53	284
158	53	284
159	54	284
160	54	284
161	54	283
162	55	283
163	55	283
164	56	284
165	56	284
166	56	283
167	57	283
168	57	283
169	57	282
170	58	281
171	58	281
172	58	280
173	59	280
174	59	280
175	59	280
176	60	281
177	60	280
178	61	280
179	61	279
180	61	278
181	61	278
182	62	278
183	62	277
184	62	277
185	63	276
186	63	276
187	63	276
188	64	275
189	64	275
190	64	275
191	65	274
192	65	274
193	65	274
194	66	273
195	66	272
196	66	272
197	67	271
198	67	271
199	68	272
200	68	272
201	69	272
202	69	272
203	69	273
204	70	272
205	70	272
206	70	271
207	71	271
208	71	270
209	71	270
210	72	269
211	72	269
212	72	269
213	73	268
214	73	268
215	73	267
216	74	267
217	74	267
218	74	266
219	75	266
220	75	265
221	75	265
222	76	265
223	76	264
224	76	263
225	76	263
226	77	263
227	77	263
228	78	262
229	78	262
230	78	262
231	79	261
232	79	261
233	79	260
234	79	260
235	80	259
236	80	259
237	80	259
238	81	258
239	81	258
240	81	257
241	82	257
242	82	257
243	83	257
244	83	257
245	84	257
246	84	257
247	84	256
248	84	256
249	85	255
250	85	255
251	85	255
252	86	254
253	86	254
254	86	253
255	87	253
256	87	252
257	87	252
258	88	252
259	88	251
260	88	251
261	89	250
262	89	250
263	89	249
264	90	249
265	90	249
266	90	248
267	90	248
268	91	248
269	91	247
270	91	247
271	92	246
272	92	246
273	92	246
274	93	245
275	93	245
276	93	245
277	94	244
278	94	244
279	94	244
280	95	243
281	95	243
282	95	243
283	96	242
284	96	242
285	96	242
286	97	241
287	97	241
288	97	240
289	98	240
290	99	242
291	99	241
292	100	241
293	100	241
294	101	241
295	101	241
296	101	240
297	102	240
298	102	239
299	102	239
300	102	238
301	103	238
302	103	238
303	103	237
304	104	237
305	104	236
306	104	237
307	105	236
308	105	236
309	106	236
310	106	235
311	106	235
312	107	234
313	107	234
314	107	233
315	107	233
316	108	233
317	108	232
318	108	232
319	109	231
320	109	231
321	109	231
322	110	231
323	110	230
324	110	230
325	111	229
326	111	229
327	111	229
328	112	228
329	112	228
330	112	228
331	113	227
332	113	227
333	113	227
334	114	226
335	114	226
336	115	226
337	115	226
338	115	226
339	116	225
340	116	225
341	117	225
342	117	224
343	117	224
344	118	224
345	118	223
346	119	224
347	119	224
348	119	223
349	120	223
350	120	222
351	120	222
352	121	222
353	121	221
354	121	221
355	122	220
356	122	220
357	123	221
358	123	220
359	123	220
360	124	219
361	124	219
362	124	219
363	125	218
364	125	218
365	126	218
366	126	218
367	126	217
368	127	217
369	127	217
370	128	217
371	128	216
372	128	216
373	129	216
374	129	216
375	130	216
376	130	215
377	130	215
378	131	215
379	131	215
380	132	214
381	132	214
382	133	214
383	133	213
384	133	213
385	134	213
386	134	212
387	134	212
388	135	212
389	135	211
390	135	211
391	136	211
392	136	210
393	137	211
394	137	210
395	138	210
396	138	210
397	138	210
398	139	209
399	139	209
400	139	208
401	140	208
402	140	208
403	140	207
404	141	207
405	141	207
406	142	207
407	142	206
408	142	206
409	143	206
410	143	205
411	143	205
412	144	205
413	144	204
414	145	204
415	145	204
416	146	204
417	146	203
418	146	203
419	147	203
420	147	202
421	147	202
422	148	202
423	148	201
424	148	201
425	149	201
426	149	200
427	149	200
428	150	200
429	150	199
430	151	199
431	151	199
432	151	199
433	152	198
434	152	198
435	153	198
436	153	198
437	153	197
438	154	197
439	154	196
440	154	196
441	155	195
442	155	195
443	155	195
444	156	194
445	156	194
446	157	194
447	157	193
448	157	193
449	158	193
450	158	192
451	158	192
452	158	191
453	159	191
454	159	191
455	160	191
456	160	190
457	161	190
458	161	190
459	161	189
460	162	190
461	163	190
462	163	189
463	163	189
464	164	189
465	164	188
466	164	188
467	165	187
468	165	187
469	166	187
470	166	187
471	166	186
472	167	186
473	167	185
474	167	185
475	168	185
476	168	184
477	168	184
478	169	183
479	169	183
480	169	183
481	170	182
482	170	182
483	170	182
484	171	181
485	171	181
486	171	181
487	172	180
488	172	180
489	173	180
490	173	179
491	173	179
492	174	179
493	174	178
494	174	178
495	175	178
496	175	177
497	176	177
498	176	177
499	176	176
500	177	176
501	177	176
502	177	175
503	178	175
504	178	175
505	179	174
506	179	174
507	179	174
508	179	173
509	180	173
510	180	173
511	181	172
512	181	172
513	181	171
514	182	171
515	182	171
516	182	170
517	183	170
518	183	169
519	183	169
520	183	169
521	184	168
522	184	168
523	184	167
524	185	167
525	185	167
526	186	167
527	186	166
528	186	166
529	187	165
530	187	165
531	187	165
532	187	164
533	188	164
534	188	163
535	189	163
536	189	163
537	189	162
538	190	162
539	190	162
540	190	161
541	191	161
542	191	161
543	191	160
544	192	160
545	192	160
546	192	159
547	193	159
548	193	159
549	194	158
550	194	158
551	194	158
552	195	157
553	195	157
554	195	157
555	196	156
556	196	156
557	196	156
558	197	155
559	197	155
560	197	154
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	200	152
568	200	151
569	200	151
570	201	151
571	201	150
572	201	150
573	202	150
574	202	149
575	202	149
576	203	148
577	203	148
578	203	148
579	204	147
580	204	147
581	204	147
582	205	146
583	205	146
584	205	145
585	206	145
586	206	145
587	207	145
588	207	145
589	208	144
590	208	144
591	208	144
592	209	143
593	209	143
594	209	142
595	210	142
596	210	142
597	210	141
598	211	141
599	211	141
600	211	140
601	212	140
602	212	139
603	212	139
604	213	139
605	213	138
606	213	138
607	214	138
608	214	137
609	214	137
610	215	136
611	215	136
612	215	136
613	216	135
614	216	135
615	216	135
616	216	134
617	217	134
618	217	134
619	218	133
620	218	133
621	218	132
622	219	132
623	219	132
624	219	131
625	220	131
626	220	131
627	220	130
628	221	130
629	221	129
630	221	129
631	222	129
632	222	129
633	223	128
634	223	128
635	223	128
636	224	127
637	224	127
638	224	126
639	225	126
640	225	126
641	225	126
642	226	125
643	226	125
644	226	124
645	227	124
646	227	124
647	228	123
648	228	123
649	229	123
650	229	122
651	229	122
652	229	122
653	230	121
654	230	121
655	231	121
656	231	120
657	231	120
658	232	120
659	232	119
660	232	119
661	233	118
662	233	118
663	233	118
664	234	117
665	234	117
666	234	117
667	234	116
668	235	116
669	235	116
670	235	115
671	236	115
672	236	115
673	237	114
674	237	114
675	238	114
676	238	113
677	238	113
678	239	113
679	239	112
680	239	112
681	240	112
682	240	111
683	241	111
684	241	110
685	241	110
686	242	110
687	242	109
688	242	109
689	243	109
690	243	108
691	243	108
692	244	108
693	244	107
694	244	107
695	245	107
696	245	106
697	245	106
698	246	105
699	246	105
700	246	105
701	247	104
702	247	104
703	247	104
704	248	103
705	248	103
706	248	103
707	249	102
708	249	102
709	249	102
710	250	101
711	250	101
712	250	101
713	251	100
714	251	100
715	252	99
716	252	99
717	252	99
718	253	99
719	253	98
720	254	98
721	254	97
722	254	97
723	255	97
724	255	96
725	255	96
726	255	96
727	256	95
728	256	95
729	257	95
730	257	94
731	257	94
732	257	93
733	258	93
734	258	93
735	258	92
736	259	92
737	259	92
738	260	91
739	260	91
740	260	91
741	261	90
742	261	90
743	261	90
744	261	89
745	262	89
746	262	88
747	262	88
748	263	88
749	263	87
750	264	87
751	264	87
752	264	86
753	265	86
754	265	86
755	265	85
756	266	85
757	266	85
758	267	84
759	267	84
760	267	84
761	268	83
762	268	83
763	268	83
764	269	82
765	269	82
766	269	81
767	269	81
768	270	81
769	270	80
770	270	80
771	271	80
772	271	79
773	271	79
774	272	79
775	272	78
776	272	78
777	273	77
778	273	77
779	273	77
780	274	76
781	274	76
782	274	76
783	275	75
784	275	75
785	275	75
786	276	74
787	276	74
788	276	73
789	276	73
790	277	73
791	277	72
792	277	72
793	278	72
794	278	71
795	278	71
796	279	71
797	279	70
798	279	70
799	280	70
800	280	69
801	281	69
802	281	69
803	281	68
804	282	68
805	282	68
806	282	67
807	283	67
808	283	66
809	283	66
810	284	66
811	284	65
812	284	65
813	285	65
814	285	64
815	285	64
816	286	64
817	286	63
818	286	63
819	286	62
820	287	62
821	287	62
822	287	61
823	288	61
824	288	61
825	288	60
826	289	60
827	289	60
828	289	59
829	290	59
830	290	59
831	290	58
832	291	58
833	291	57
834	291	57
835	291	57
836	292	56
837	292	56
838	292	56
839	293	55
840	293	55
841	294	55
842	294	54
843	295	54
844	295	54
845	296	53
846	296	53
847	296	53
848	297	52
849	297	52
850	297	52
851	298	51
852	298	51
853	298	51
854	299	50
855	299	50
856	299	50
857	300	49
858	300	49
859	300	48
860	301	48
861	301	48
862	301	47
863	302	47
864	302	47
865	302	46
866	303	46
867	303	46
868	303	45
869	304	45
870	304	45
871	304	44
872	305	44
873	305	44
874	305	43
875	306	43
876	306	42
877	306	42
878	307	42
879	307	41
880	307	41
881	308	41
882	308	40
883	308	40
884	309	40
885	309	39
886	309	39
887	310	39
888	310	38
889	311	38
890	311	38
891	312	37
892	312	37
893	312	37
894	313	36
895	313	36
896	313	36
897	314	35
898	314	35
899	314	34
900	315	34
901	315	34
902	315	33
903	316	33
904	316	33
905	316	32
906	316	32
907	317	32
908	317	31
909	317	31
910	318	31
911	318	30
912	318	30
913	319	30
914	320	29
915	320	29
916	320	29
917	320	28
918	321	28
919	321	27
920	321	27
921	322	27
922	322	26
923	322	26
924	323	26
925	323	25
926	323	25
927	324	25
928	324	24
929	324	24
930	325	24
931	325	23
932	326	23
933	326	23
934	326	22
935	327	22
936	327	22
937	327	21
938	328	21
939	328	20
940	328	20
941	329	20
942	329	19
943	329	19
944	329	19
945	330	18
946	330	18
947	331	18
948	331	17
949	331	17
950	332	17
951	332	16
952	332	16
953	333	16
954	333	15
955	333	15
956	334	15
957	334	14
958	334	14
959	335	13
960	335	13
961	335	13
962	336	12
963	336	12
964	336	12
965	337	11
966	337	11
967	337	11
968	338	10
969	338	10
970	338	10
971	339	9
972	339	9
973	339	9
974	340	8
975	340	8
976	341	8
977	341	7
978	341	7
979	342	6
980	342	6
981	342	6
982	343	5
983	343	5
984	343	5
985	344	4
986	344	4
987	344	4
988	345	3
989	345	3
990	345	3
991	346	2
992	346	2
993	346	2
994	347	1
995	347	1
996	347	1
997	347	0
998	348	0
999	348	0
