iter	Passed	Remaining
0	1	1359
1	1	964
2	2	824
3	3	755
4	3	708
5	4	674
6	4	655
7	5	637
8	5	619
9	6	613
10	6	608
11	7	596
12	7	591
13	8	582
14	8	576
15	9	572
16	9	565
17	10	557
18	10	551
19	11	545
20	11	544
21	12	540
22	12	536
23	13	532
24	13	529
25	14	526
26	14	523
27	14	519
28	15	515
29	15	512
30	16	510
31	16	508
32	17	506
33	17	504
34	18	505
35	18	504
36	19	503
37	19	500
38	20	498
39	20	497
40	21	498
41	21	497
42	22	498
43	22	495
44	23	493
45	23	493
46	24	492
47	24	490
48	25	490
49	25	490
50	26	490
51	26	489
52	27	488
53	27	486
54	28	486
55	28	486
56	29	485
57	29	485
58	30	486
59	30	484
60	31	484
61	32	484
62	32	485
63	33	485
64	33	484
65	34	484
66	34	483
67	35	483
68	35	481
69	36	481
70	36	481
71	37	481
72	37	480
73	38	478
74	38	478
75	39	477
76	39	476
77	40	477
78	40	477
79	41	475
80	41	475
81	42	474
82	42	470
83	43	469
84	43	467
85	44	468
86	44	467
87	45	466
88	45	465
89	45	464
90	46	464
91	46	463
92	47	461
93	47	460
94	48	458
95	48	456
96	48	456
97	49	455
98	49	454
99	50	452
100	50	451
101	51	450
102	51	450
103	52	448
104	52	448
105	53	448
106	53	447
107	54	446
108	54	446
109	55	445
110	55	443
111	55	442
112	56	441
113	56	440
114	57	439
115	57	438
116	57	437
117	58	436
118	58	434
119	59	433
120	59	432
121	59	430
122	60	429
123	60	428
124	61	427
125	61	426
126	61	425
127	62	424
128	62	424
129	63	423
130	63	421
131	64	421
132	64	420
133	64	419
134	65	417
135	65	417
136	66	416
137	66	415
138	66	414
139	67	414
140	67	413
141	68	411
142	68	411
143	68	409
144	69	409
145	69	408
146	70	407
147	70	406
148	70	405
149	71	404
150	71	403
151	72	402
152	72	401
153	72	400
154	73	399
155	73	399
156	74	398
157	74	397
158	75	397
159	75	396
160	75	394
161	76	393
162	76	392
163	76	391
164	77	391
165	77	390
166	78	389
167	78	388
168	78	388
169	79	388
170	79	387
171	80	386
172	80	386
173	81	385
174	81	384
175	81	383
176	82	382
177	82	382
178	83	381
179	83	380
180	84	380
181	84	379
182	84	378
183	85	378
184	85	377
185	86	377
186	86	376
187	87	375
188	87	375
189	87	374
190	88	373
191	88	373
192	89	373
193	89	372
194	90	371
195	90	371
196	90	370
197	91	369
198	91	368
199	92	368
200	92	367
201	92	367
202	93	366
203	93	365
204	94	365
205	94	364
206	95	364
207	95	363
208	96	363
209	96	362
210	96	362
211	97	361
212	97	360
213	98	360
214	98	359
215	98	358
216	99	358
217	99	357
218	100	356
219	100	356
220	100	355
221	101	355
222	101	354
223	102	353
224	102	353
225	102	352
226	103	352
227	103	351
228	104	350
229	104	350
230	105	350
231	105	349
232	105	348
233	106	348
234	106	347
235	107	347
236	107	346
237	107	345
238	108	345
239	108	344
240	109	343
241	109	343
242	110	342
243	110	342
244	111	342
245	111	342
246	112	341
247	112	341
248	112	340
249	113	339
250	113	339
251	114	338
252	114	337
253	114	337
254	115	336
255	115	336
256	116	335
257	116	334
258	116	334
259	117	333
260	117	333
261	118	333
262	118	332
263	119	331
264	119	331
265	119	330
266	120	330
267	120	330
268	121	329
269	121	329
270	122	328
271	122	327
272	122	327
273	123	326
274	123	326
275	124	325
276	124	325
277	125	325
278	125	324
279	126	324
280	126	323
281	126	323
282	127	322
283	127	322
284	128	321
285	128	321
286	129	321
287	129	320
288	130	319
289	130	319
290	131	319
291	131	318
292	131	318
293	132	317
294	132	317
295	133	317
296	133	316
297	134	315
298	134	315
299	134	314
300	135	314
301	135	313
302	136	313
303	136	312
304	137	312
305	137	311
306	137	311
307	138	310
308	138	310
309	139	309
310	139	308
311	139	308
312	140	307
313	140	307
314	141	306
315	141	306
316	141	305
317	142	305
318	142	304
319	143	304
320	143	304
321	144	303
322	144	303
323	145	302
324	145	302
325	146	301
326	146	301
327	146	300
328	147	300
329	147	299
330	147	299
331	148	298
332	148	298
333	149	297
334	149	297
335	150	296
336	150	295
337	150	295
338	151	294
339	151	294
340	152	294
341	152	293
342	152	293
343	153	292
344	153	292
345	154	291
346	154	290
347	155	290
348	155	289
349	155	289
350	156	288
351	156	288
352	157	287
353	157	287
354	157	286
355	158	286
356	158	285
357	159	285
358	159	284
359	159	284
360	160	283
361	160	283
362	161	283
363	161	282
364	162	282
365	162	281
366	163	281
367	163	280
368	163	280
369	164	280
370	164	279
371	165	279
372	165	278
373	166	278
374	166	277
375	167	277
376	167	276
377	168	276
378	168	275
379	168	275
380	169	275
381	169	274
382	170	274
383	170	273
384	171	273
385	171	272
386	171	272
387	172	271
388	172	271
389	173	270
390	173	270
391	174	270
392	174	269
393	174	269
394	175	268
395	175	268
396	176	267
397	176	267
398	177	266
399	177	266
400	178	266
401	178	265
402	179	265
403	179	264
404	179	264
405	180	263
406	180	263
407	181	262
408	181	262
409	181	261
410	182	261
411	182	260
412	183	260
413	183	259
414	183	259
415	184	258
416	184	258
417	185	258
418	186	257
419	186	257
420	186	256
421	187	256
422	187	255
423	188	255
424	188	254
425	189	254
426	189	254
427	190	253
428	190	253
429	190	253
430	191	252
431	191	252
432	192	251
433	192	251
434	193	250
435	193	250
436	193	249
437	194	249
438	194	248
439	195	248
440	195	247
441	196	247
442	196	246
443	196	246
444	197	246
445	197	245
446	198	245
447	198	245
448	199	244
449	199	244
450	200	243
451	205	249
452	206	248
453	206	248
454	207	248
455	208	248
456	208	247
457	208	247
458	209	246
459	209	246
460	210	245
461	210	245
462	211	244
463	211	244
464	212	243
465	212	243
466	212	242
467	213	242
468	213	241
469	214	241
470	214	240
471	214	240
472	215	239
473	215	239
474	216	238
475	216	238
476	217	237
477	217	237
478	217	236
479	218	236
480	218	235
481	219	235
482	219	235
483	220	234
484	220	234
485	221	233
486	221	233
487	221	232
488	222	232
489	222	232
490	223	231
491	223	231
492	224	230
493	224	230
494	224	229
495	225	228
496	225	228
497	226	227
498	226	227
499	226	226
500	227	226
